"Coal Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector"
2069.598,172.875
2015.767,201.968
2056.951,206.166
2075.022,110.673
2040.33,121.121
2126.109,158.29
2039.229,160.755
2164.706,127.62
2090.426,121.992
2129.357,96.931
2070.983,127.946
1988.333,360.944
2271.66,190.61
2255.363,152.287
2275.025,156.276
2303.459,162.97
2270.381,162.459
2366.34,225.361
2312.923,225.804
2445.879,206.102
2351.504,158.375
2386.306,142.18
2309.275,116.353
2232.835,157.715
2222.342,113.867
2168.654,89.752
2156.592,90.867
2217.447,97.387
2180.585,156.356
2286.304,119.998
2267.479,125.365
2388.216,137.026
2309.091,109.201
2355.906,83.158
2262.998,104.285
2205.766,109.398
2294.912,131.812
2250.187,102.47
2312.006,108.105
2329.186,88.631
2291.484,79.914
2420.052,108.436
2375.464,132.954
2469.248,102.127
2403.614,93.44
2428.239,90.819
2366.014,100.096
2303.183,96.648
2357.631,112.815
2320.055,107.327
2357.332,136.804
2389.704,85.222
2342.033,88.349
2457.059,119.162
2412.434,187.308
2519.263,180.897
2440.039,136.2
2481.565,110.295
2426.025,109.607
2382.47,141.182
2383.965,323.762
2347.946,153.153
2416.087,117.866
2427.169,117.05
2425.184,118.94
2527.109,182.544
2475.527,158.352
2630.438,104.339
2519.434,87.682
2566.234,80.891
2515.58,83.152
2472.757,97.235
2439.848,85.253
2389.382,120.186
2423.874,69.099
2418.845,71.125
2399.307,89.915
2498.695,94.027
2444.529,149.611
2555.556,205.52
2471.408,82.095
2510.195,73.268
2425.638,80.027
2385.344,125.213
2377.879,145.63
2325.503,169.846
2370.023,115.071
2411.776,66.202
2389.237,85.733
2505.486,92.317
2485.777,120.077
2585.24,98.797
2514.345,88.725
2549.842,70.566
2481.078,80.583
2438.234,112.395
2427.939,174.844
2401.247,89.784
2410.555,87.745
2477.392,98.985
2422.729,97.639
2521.196,144.305
2495.462,241.145
2607.942,147.867
2548.032,126.67
2578.039,127.255
2496.416,119.982
2466.322,128.108
2337.08,96.665
2296.744,82.405
2322.73,124.222
2366.608,97.878
2341.822,160.581
2427.454,225.367
2405.254,250.348
2500.152,237.205
2408.878,192.391
2457.686,103.938
2356.14,104.447
2332.013,132.021
2275.956,177.341
2238.106,111.688
2264.786,122.642
2287.685,127.167
2256.07,116.997
2345.928,153.38
2312.66,276.891
2426.753,197.358
2346.331,105.29
2387.707,86.234
2327.657,72.712
2293.321,65.178
2304.72,117.769
2267.356,74.396
2309.791,65.589
2335.159,64.604
2297.202,132.88
2389.532,141.982
2348.532,147.724
2440.622,175.052
2365.449,136.843
2406.643,99.809
2306.545,100.996
2259.029,357.347
2424.16,239.8
2011.93,156.84
2219.66,162.8
2047.24,138.55
1964.62,142.73
2123.49,141.97
2267.44,152.92
2318.18,169.39
2114.86,126.61
2081.13,139.82
2040.51,120.12
2141.32,140.81
2278.429,98.582
1989.589,91.664
2149.737,88.179
2114.529,84.459
2110.39,81.304
2100.931,87.101
2438.866,115.367
2153.381,114.423
2149.579,90.147
2230.818,88.869
